name,address,longitude,latitude,location_category,location_sub_category,description,open_date,parking,pricing,free_use,contact,networks,total_plugs,port_level_type,renewable_power_supply,power_outputs_kw,Plugs_CHAdeMO,Plugs_Tesla,Plugs_CCS_SAE,Plugs_J1772,Plugs_Type2,Plugs_Three_Phase,Plugs_Commando,Plugs_Wall_AU_NZ,Plugs_Caravan_Mains_Socket,Plugs_Other,source,source_date
BP Northpoint,"1 Scanlon Drive, Epping VIC 3076, Australia",144.994195,-37.648097,,,,,,,,,['Evie Networks'],8.0,,,[350.0],4.0,0,4.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Stockland Point Cook,"Main St & Murnong St, Point Cook VIC 3030, Australia",144.736465,-37.884254,,,,,,,,,['ChargePoint'],1.0,,,['unknown'],0.0,0,0.0,1.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Clifftop Accommodation Phillip Island,"1 Marlin Street, Smiths Beach, VIC 3922",145.259653,-38.504564,,,,,,,,,['Non-networked'],2.0,,,[22.0],0.0,2,0.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Stony point caravan park,"5 Stony Point Road, Crib Point VIC 3919, Australia",145.221478,-38.374257,,,,,,,,03 5983 9242,['Non-networked'],4.0,,,['unknown'],0.0,0,0.0,0.0,0.0,0.0,,4.0,0.0,,PlugShare_Scrape,20/08/2022
Belgrave Heights Convention Centre,"23 Lockwood Rd, Belgrave Heights VIC 3160, Australia",145.348486,-37.923605,,,,,,,,,['Non-networked'],1.0,,,['unknown'],0.0,0,0.0,0.0,0.0,0.0,,1.0,0.0,,PlugShare_Scrape,20/08/2022
Corsair Solutions,"370 Darebin Rd, Alphington VIC 3078, Australia",145.03066,-37.767107,,,,,,,,,['Chargefox'],2.0,,,[80.0],0.0,0,2.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Monash University Caulfield Car Park,"880 Princes Hwy Service Rd, Caulfield East VIC 3145, Australia",145.043688,-37.876073,,,,,,,,1300 518 038,"['Chargefox', 'Non-networked']",3.0,,,"[50.0, 'unknown']",1.0,0,1.0,0.0,0.0,0.0,,1.0,0.0,,PlugShare_Scrape,20/08/2022
Stud Park Shopping Centre,"Corner Stud & Fullham Rd, Rowville 3178, Australia",145.237553,-37.9214,,,,,,,,,['Evie Networks'],8.0,,,[50.065],4.0,0,4.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Swinburne University - TC Building,"20 William St, Hawthorn VIC 3122, Australia",145.039887,-37.820819,,,,,,,,6139214800,['ChargePoint'],2.0,,,[50.0],1.0,0,1.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Paradigm Hill Winery,"26 Merricks Road Merricks VIC 3916, Australia",145.071771,-38.385929,,,,,,,,0359899000,['Tesla Destination'],1.0,,,[22.0],0.0,1,0.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
AWM Greentech Geelong,"252-256 Portarlington Rd, Moolap, Victoria 3224",144.411376,-38.163929,,,,,,,,0352216222,['Non-networked'],1.0,,,['unknown'],0.0,0,0.0,0.0,1.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Greenvale Woolworths,"200 James Mirams Dr, Roxburgh Park VIC 3064, Australia",144.914873,-37.616294,,,,,,,,,['Non-networked'],1.0,,,['unknown'],0.0,0,0.0,0.0,1.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
King Henry Arts Cafe,"320 Mount Dandenong Tourist Rd Sassafras VIC 3787, Australia",145.351181,-37.868948,,,,,,,,0397552346,['Non-networked'],1.0,,,['unknown'],0.0,0,0.0,0.0,0.0,0.0,,1.0,0.0,,PlugShare_Scrape,20/08/2022
Brunswick EV Hub,"15 Edward St, Brunswick VIC 3056, Australia",144.961886,-37.773851,,,,,,,,1300518038,['Chargefox'],6.0,,,"[50.0, 'unknown']",2.0,0,2.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Huberts Estate,"10 St Huberts Rd, Coldstream VIC 3770, Australia",145.415698,-37.697017,,,,,,,,,['Non-networked'],1.0,,,['unknown'],0.0,0,0.0,0.0,1.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Botanic Ridge Village,"10 Hummingbird Dr, Botanic Ridge VIC 3977, Australia",145.290458,-38.150115,,,,,,,,,['Non-networked'],2.0,,,['unknown'],0.0,0,0.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
EVolution HQ,"Unit 32, 231 Osborne Avenue, Clayton South VIC 3169, Australia",145.11844,-37.942988,,,,,,,,,['EVUp'],4.0,,,"[20.0, 22.0]",1.0,0,1.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
dingley reserve ,"Dingley Reserve, Dingley Village VIC 3172, Australia",145.137319,-37.984056,,,,,,,,,['Non-networked'],1.0,,,['unknown'],0.0,0,0.0,0.0,0.0,0.0,,1.0,0.0,,PlugShare_Scrape,20/08/2022
Woolworths Heidelberg,"451 Lower Heidelberg Rd, Heidelberg VIC 3084, Australia",145.068632,-37.758997,,,,,,,,,['Chargefox'],16.0,,,['unknown'],0.0,0,0.0,0.0,16.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Silverwater Resorts Phillip Island,"17 Potters HIll Rd, Phillip Island, , Australia, VIC 3925",145.392082,-38.522528,,,,,,,,,['Tesla Destination'],2.0,,,[22.0],0.0,2,0.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Bayside City Council,"76 Royal Ave, Sandringham VIC 3191, Australia",145.017704,-37.959394,,,,,,,,,['Chargefox'],2.0,,,[50.0],1.0,0,1.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Cranbourne Home (Out Of Service),"2 Lesdon Ave, Cranbourne VIC 3977, Australia",145.279599,-38.087041,,,,,,,,,['EVUp'],2.0,,,[22.0],0.0,0,0.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Porsche Centre Brighton,"855 Nepean Hwy, Bentleigh VIC 3204, Australia",145.027893,-37.925691,,,,,,,,,['Non-networked'],1.0,,,['unknown'],1.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Knox Civic Centre,"511 Burwood Hwy, Wantirna South VIC 3152, Australia",145.245056,-37.871723,,,,,,,,,['Chargefox'],2.0,,,['unknown'],0.0,0,0.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Bunnings Sunshine,"Bunnings Warehouse Sunshine, 480 Ballarat Rd, Sunshine North VIC 3020, Australia",144.83008,-37.776275,,,,,,,,,['Non-networked'],1.0,,,['unknown'],0.0,0,0.0,0.0,0.0,0.0,,1.0,0.0,,PlugShare_Scrape,20/08/2022
Eltham Leisure Centre,"40 Brougham St, Eltham VIC 3095, Australia",145.142426,-37.722925,,,,,,,,,['Chargefox'],4.0,,,[7.0],0.0,0,0.0,0.0,4.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Altona Gate Shopping Centre,"124-134 Millers Rd, Altona North VIC 3025, Australia",144.848241,-37.827587,,,,,,,,,['Non-networked'],1.0,,,['unknown'],0.0,0,0.0,0.0,0.0,0.0,,1.0,0.0,,PlugShare_Scrape,20/08/2022
Berwick Nissan,"6-10 Kangan Dr, Berwick VIC 3806",145.343384,-38.040047,,,,,,,,,['Non-networked'],1.0,,,['unknown'],0.0,0,0.0,0.0,1.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Ten Minutes by Tractor,"1333 Mornington-Flinders Rd, Main Ridge VIC 3928, Australia",144.994231,-38.394641,,,,,,,,,['Tesla Destination'],2.0,,,[22.0],0.0,2,0.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Eldridge Estate Winery,"120 Arthurs Seat Road, Red Hill VIC 3937, Australia",145.018678,-38.372182,,,,,,,,,"['Tesla Destination', 'EVUp']",2.0,,,"['unknown', 22.0]",0.0,1,0.0,0.0,1.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Lakeside Villas at Crittenden Estate,"25 Harrisons Rd, Dromana VIC 3936, Australia",145.018981,-38.335276,,,,,,,,,['Non-networked'],2.0,,,['unknown'],0.0,0,0.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Armstrong Creek East Community Hub,"46-70 Central Boulevard, Armstrong Creek VIC 3217, Australia",144.368965,-38.231922,,,,,,,,,['Chargefox'],6.0,,,['unknown'],0.0,0,0.0,0.0,6.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Coles - Cobblebank Village,"211 Ferris Rd, Melton South VIC 3338, Australia",144.601847,-37.713815,,,,,,,,,['Non-networked'],2.0,,,['unknown'],0.0,0,0.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Sorrento Hotel,"1 Esplanade, Sorrento VIC 3943, Australia",144.743447,-38.338316,,,,,,,,,['Non-networked'],1.0,,,['unknown'],0.0,0,0.0,0.0,0.0,0.0,,1.0,0.0,,PlugShare_Scrape,20/08/2022
Nelson Place Parking/Charging,"Commonwealth Reserve, Williamstown VIC 3016, Australia",144.904614,-37.863107,,,,,,,,,['Chargefox'],2.0,,,['unknown'],0.0,0,0.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Atura Hotel Dandenong,"5-17 Doveton Avenue, Eumemmerring, Victoria, Australia, VIC 3177",145.250432,-38.002297,,,,,,,,,['Tesla Destination'],1.0,,,[22.0],0.0,1,0.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Common Ground Project,"675 Anglesea Rd, Freshwater Creek VIC 3217, Australia",144.276227,-38.259646,,,,,,,,,['Tesla Destination'],2.0,,,[22.0],0.0,2,0.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Melbourne Airport - Qantas Valet Parking,"15-25 Francis Briggs Road, Tullamarine, , Australia, VIC 3045",144.851581,-37.669133,,,,,,,,,['Tesla Destination'],2.0,,,[22.0],0.0,2,0.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Cobblebank Stadium,"Astley Dr, Bridge Rd, Strathtulloh VIC 3338, Australia",144.599558,-37.716016,,,,,,,,,['Chargefox'],2.0,,,['unknown'],1.0,0,1.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Laverton Community Hub,"Cohealth Clinic, Laverton Community Hub Corner Donald St &, Railway Ave, Laverton VIC 3028, Australia",144.76925,-37.865302,,,,,,,,,['Chargefox'],2.0,,,['unknown'],0.0,0,0.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Ampol Foodary Altona North (Coming Soon),"1 Horsburgh Drive, Altona North, VIC, 3025, Australia",144.809201,-37.84667,,,,,,,,,['AMPCharge'],4.0,,,[150.0],2.0,0,2.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Hobsons Bay Civic Centre,"115 Civic Parade, Altona VIC 3018, Australia",144.831492,-37.863399,,,,,,,,,['Chargefox'],2.0,,,[50.0],1.0,0,1.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Brimbank Shopping Centre,"Brimbank Central Shopping Centre shop 81t, 28-72 Neale Rd, Deer Park VIC 3023, Australia",144.775257,-37.751827,,,,,,,,,['Chargefox'],2.0,,,['unknown'],0.0,0,0.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Cranbourne West Community Hub (Coming Soon),"75 Evans Rd, Cranbourne West VIC 3977, Australia",145.250522,-38.106929,,,,,,,,,['Chargefox'],2.0,,,['unknown'],0.0,0,0.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Monash University Clayton - Car Park N1,"10 Research Way, Clayton VIC 3168, Australia",145.131936,-37.908137,,,,,,,,,['Chargefox'],4.0,,,"[50.0, 22.0]",1.0,0,1.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Oak Park Sports & Aquatic Centre,"Oak Park Reserve, 563 Pascoe Vale Rd, Oak Park VIC 3046, Australia",144.920974,-37.723715,,,,,,,,,['Chargefox'],3.0,,,['unknown'],0.0,0,0.0,1.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Baptcare Strathalan,"2-34 Erskine Rd, Macleod VIC 3085, Australia",145.077998,-37.728819,,,,,,,,,['Non-networked'],2.0,,,['unknown'],0.0,0,0.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Leopold Library,"31 Kensington Rd, Leopold VIC 3224",144.46436,-38.186249,,,,,,,,,['Chargefox'],1.0,,,['unknown'],0.0,0,0.0,0.0,1.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Coburg Town Hall / Moreland City,"90 Bell St, Coburg VIC 3058, Australia",144.970149,-37.74111,,,,,,,,,['Chargefox'],3.0,,,"[50.0, 'unknown']",1.0,0,1.0,0.0,1.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Amberlee Holiday Homes & Accommodation,"306 Jetty Rd, Rosebud VIC 3939, Australia",144.912544,-38.380923,,,,,,,,,"['Tesla Destination', 'EVUp']",3.0,,,"['unknown', 22.0]",0.0,2,0.0,0.0,1.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
RACV Solar,"Units 5 & 6, 8 Lewalan St, Grovedale VIC 3216, Australia",144.344603,-38.197552,,,,,,,,,['Chargefox'],1.0,,,[22.0],0.0,0,0.0,0.0,1.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Solargain Hastings,"2161 Frankston - Flinders Rd, Hastings VIC 3915, Australia",145.184157,-38.314125,,,,,,,,,['Non-networked'],2.0,,,['unknown'],0.0,0,0.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Burwood Brickworks,"70 Middleborough Road, Burwood East VIC 3151, Australia",145.133898,-37.848953,,,,,,,,,['Chargefox'],4.0,,,['unknown'],0.0,0,0.0,0.0,4.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Hungry Jack’s Sunbury,"27 Gap Rd, Sunbury VIC 3429, Australia",144.724278,-37.580985,,,,,,,,,['Non-networked'],2.0,,,['unknown'],0.0,0,0.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
AAkonsult,"2/209 Hyde St, Yarraville VIC 3013",144.896722,-37.818982,,,,,,,,,['Non-networked'],1.0,,,['unknown'],0.0,1,0.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Hyatt Place Caribbean Park (Coming Soon),"38 Dalmore Dr, Scoresby VIC 3179, Australia",145.216905,-37.915767,,,,,,,,,['Chargebay'],3.0,,,['unknown'],0.0,0,1.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Tarneit Park Hub (BYO Type 2),"83 Leakes Rd, Tarneit VIC 3029, Australia",144.69899,-37.833989,,,,,,,,,['Non-networked'],1.0,,,['unknown'],0.0,0,0.0,0.0,1.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Malvern Central (Coming Soon),"K10, Malvern Central Shopping Centre, 110-122 Wattletree Rd, Armadale VIC 3143, Australia",145.027303,-37.862909,,,,,,,,,['Non-networked'],1.0,,,['unknown'],0.0,0,1.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
BM Autowerks,"28-34 Westminster Street, Oakleigh‎ VIC‎ 3166, Australia",145.095351,-37.90326,,,,,,,,,['EVUp'],1.0,,,[7.6],0.0,0,0.0,1.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Ramada Resort by Wyndham Phillip Island,"2128 Phillip Island Road, Cowes, VIC, Australia, VIC 3922",145.242237,-38.471698,,,,,,,,,['Tesla Destination'],2.0,,,[5.0],0.0,2,0.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Cowes Transit Centre,"83 Thompson Ave, Cowes VIC 3922, Australia",145.240243,-38.451339,,,,,,,,,"['Tesla Destination', 'EVUp']",4.0,,,"['unknown', 7.0]",0.0,2,0.0,1.0,1.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Harrow Street Car Park,"3 John St, Box Hill VIC 3128, Australia",145.124448,-37.821964,,,,,,,,,['Chargefox'],5.0,,,['unknown'],0.0,0,0.0,0.0,5.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
RACV Head Office (Service Centre Car Park),"Browns Road, Noble Park North‎ VIC‎ 3174, Australia",145.180067,-37.952893,,,,,,,,,['Chargefox'],2.0,,,['unknown'],0.0,0,0.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Hart's Farm,"Gate 2, 300 Tucks Rd, Shoreham, VIC, Australia, VIC 3916",145.0067,-38.4092,,,,,,,,,['Tesla Destination'],1.0,,,[2.0],0.0,1,0.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Darebin Civic Centre Precinct,"274 Gower Street, Preston VIC 3072, Australia",145.005114,-37.740102,,,,,,,,,['Chargefox'],2.0,,,['unknown'],0.0,0,0.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Nepean Country Club And & Day Spa,"205 Browns Rd, Boneo VIC 3939, Australia",144.870509,-38.398895,,,,,,,,,['Non-networked'],3.0,,,['unknown'],0.0,0,0.0,1.0,0.0,1.0,,1.0,0.0,,PlugShare_Scrape,20/08/2022
Oakleigh South,"23-25 Bunney Road, Oakleigh South VIC 3167, Australia",145.097119,-37.932688,,,,,,,,,['EVUp'],1.0,,,[7.0],0.0,0,0.0,0.0,1.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Quest Burwood East,"317 Burwood Hwy, Burwood East VIC 3151, Australia",145.162436,-37.853643,,,,,,,,,['Non-networked'],1.0,,,['unknown'],0.0,0,0.0,0.0,0.0,0.0,,1.0,0.0,,PlugShare_Scrape,20/08/2022
Forest Hill Chase Shopping Centre,"270 Canterbury Rd, Forest Hill VIC 3131, Australia",145.163537,-37.835382,,,,,,,,,['Chargefox'],2.0,,,['unknown'],0.0,0,0.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
CB Smith Reserve,99 Jukes Road Fawkner VIC 3060 AU,144.969502,-37.702614,,,,,,,,,['Chargefox'],2.0,,,[25.0],1.0,0,1.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Coburg North EV Fast Charge (Currently Out of Order),"11 Boundary Rd, Coburg North VIC 3058, Australia",144.961498,-37.718952,,,,,,,,,['Chargefox'],2.0,,,[50.0],1.0,0,1.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Energy Smart Water,"11 Dalkeith Drive, Dromana VIC 3936, Australia",144.98653,-38.334999,,,,,,,,,['EVUp'],1.0,,,['unknown'],0.0,0,0.0,1.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
hacyclon caravan park ,"106 Marine Drive, Safety Beach VIC 3936, Australia",144.988947,-38.317144,,,,,,,,,['Non-networked'],1.0,,,['unknown'],0.0,0,0.0,0.0,0.0,0.0,,1.0,0.0,,PlugShare_Scrape,20/08/2022
The Glen,"235 Springvale Road, Glen Waverley VIC 3150, Australia",145.16523,-37.875269,,,,,,,,,['Non-networked'],2.0,,,['unknown'],0.0,0,0.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Donato Cafe,"88 Craigie Rd, Mount Martha VIC 3934, Australia",145.037439,-38.256559,,,,,,,,,['Tesla Destination'],2.0,,,[5.0],0.0,2,0.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Bru4U Geelong,"4/100 Barwon Terrace, South Geelong VIC 3220, Australia",144.367288,-38.172122,,,,,,,,,['Non-networked'],1.0,,,['unknown'],0.0,0,0.0,0.0,1.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Park Rises Residences,"72 Altona Street, Kensington VIC 3031",144.926387,-37.797009,,,,,,,,,['Non-networked'],2.0,,,['unknown'],0.0,0,0.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Paint Spot Niddrie,"1 Elstone Ct, Niddrie VIC 3042, Australia",144.887807,-37.735219,,,,,,,,,['Non-networked'],1.0,,,['unknown'],0.0,0,0.0,0.0,0.0,1.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
(No Longer In Use) DHL Melbourne Gateway,"4 mace Wy, Melbourne Airport VIC 3045, Australia",144.863519,-37.684086,,,,,,,,,['Non-networked'],1.0,,,['unknown'],0.0,0,0.0,0.0,1.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Bayside Entertainment Centre,"28 Beach St, Frankston VIC 3199, Australia",145.125184,-38.140408,,,,,,,,,['Non-networked'],2.0,,,[7.0],0.0,0,0.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Diamond Valley Sports and Fitness Centre,"44 Civic Dr, Greensborough VIC 3088, Australia",145.110764,-37.689194,,,,,,,,,['Non-networked'],2.0,,,['unknown'],0.0,0,0.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Waverley Nissan,"565-577 Springvale Rd, Mulgrave VIC 3170, Australia",145.159718,-37.906157,,,,,,,,,['Chargefox'],2.0,,,['unknown'],0.0,0,0.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Grow Energy,"325A Bay Road, Cheltenham VIC 3192",145.038605,-37.955662,,,,,,,,,['Non-networked'],4.0,,,['unknown'],0.0,0,0.0,0.0,4.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Myuna Farm,"182 Kidds Rd, Doveton VIC 3177, Australia",145.232704,-37.985484,,,,,,,,,['Non-networked'],2.0,,,['unknown'],0.0,0,0.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Lockelec Rolling Stock,"14 Capital Ct, Braeside VIC 3195, Australia",145.109648,-37.995328,,,,,,,,,['Non-networked'],1.0,,,['unknown'],0.0,1,0.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Kelly Racing,"45 Canterbury Rd Braeside VIC 3195, Australia",145.110226,-38.010174,,,,,,,,,['ChargePoint'],1.0,,,['unknown'],0.0,0,0.0,1.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
"Footscray town hall, Maribyrnong city council","61 Napier St, Footscray VIC 3011, Australia",144.900362,-37.804868,,,,,,,,,['Non-networked'],2.0,,,['unknown'],0.0,0,0.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Ivanhoe Gardens (Coming Soon),"45 Linden Ave, Ivanhoe VIC 3079, Australia, Ivanhoe 3079",145.054043,-37.754954,,,,,,,,,['Exploren'],3.0,,,[22.0],0.0,0,0.0,0.0,3.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Manor Lakes Central Shopping Centre,"455 Ballan Rd, Manor Lakes VIC 3024, Australia",144.612648,-37.875049,,,,,,,,,['Non-networked'],2.0,,,['unknown'],0.0,0,0.0,0.0,2.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Wunggurrwil Dhurrung Centre,"Wunggurrwil Dhurrung Centre 19 Communal Road, Wyndham Vale VIC 3024, Australia",144.62706,-37.876378,,,,,,,,,['Chargefox'],1.0,,,['unknown'],0.0,0,0.0,0.0,1.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Pacific Werribee Shopping Centre,"Derrimut Rd & Heaths Rd, Werribee, VIC, Australia, VIC 3030",144.679638,-37.875247,,,,,,,,,['Tesla Destination'],2.0,,,[22.0],0.0,2,0.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
The Pines Shopping Centre,"181 Reynolds Rd, Doncaster East VIC 3109, Australia",145.16823,-37.762252,,,,,,,,,"['ChargePoint', 'Tesla Destination']",4.0,,,"[6.6, 22.0]",0.0,2,0.0,2.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Dandenong Agricultural and Pastoral Society,"Dandenong‎ VIC‎ 3175, Australia",145.196402,-37.983731,,,,,,,,,['Non-networked'],1.0,,,['unknown'],0.0,0,0.0,0.0,0.0,0.0,,1.0,0.0,,PlugShare_Scrape,20/08/2022
Rosebud Beach,"980 Point Nepean Road, Rosebud VIC 3939, Australia",144.901769,-38.355584,,,,,,,,,['Non-networked'],3.0,,,['unknown'],0.0,0,0.0,0.0,0.0,0.0,,3.0,0.0,,PlugShare_Scrape,20/08/2022
Moonah Links,"65 Peter Thomson Dr, Fingal VIC 3939, Australia",144.853314,-38.406624,,,,,,,,,['Non-networked'],1.0,,,['unknown'],0.0,0,0.0,0.0,0.0,0.0,,1.0,0.0,,PlugShare_Scrape,20/08/2022
Croydon Train Station Multi Level Car Park,"Devon Street, Croydon, Victoria",145.280091,-37.796959,,,,,,,,,['Non-networked'],6.0,,,[7.0],0.0,0,0.0,0.0,6.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Highpoint Shopping Centre - Basement Carpark,"Rosamond Road, Maribyrnong VIC 3032, Australia",144.887869,-37.772002,,,,,,,,,['Non-networked'],1.0,,,['unknown'],0.0,0,0.0,0.0,0.0,0.0,,1.0,0.0,,PlugShare_Scrape,20/08/2022
Vaclift,"39 Tullamarine Park Road, Tullamarine VIC 3043, Australia",144.871383,-37.709632,,,,,,,,,['Non-networked'],1.0,,,['unknown'],0.0,1,0.0,0.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
RACV Cape Schanck Resort,"6 Presnell Ct, Cape Schanck VIC 3939, Australia",144.893721,-38.461847,,,,,,,,,"['Tesla Destination', 'Non-networked']",7.0,,,"[4.0, 'unknown']",0.0,2,0.0,0.0,4.0,0.0,,1.0,0.0,,PlugShare_Scrape,20/08/2022
Schnapper Point Dr Parking/Charging,"Schnapper Point Dr, Mornington VIC 3931, Australia",145.035453,-38.215455,,,,,,,,,['Non-networked'],1.0,,,['unknown'],0.0,0,0.0,0.0,0.0,1.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Priority One Trade Services,"65 Watt Road, Mornington‎ VIC‎ 3931, Australia",145.056367,-38.231677,,,,,,,,,['Non-networked'],1.0,,,[22.0],0.0,0,0.0,0.0,1.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Peninsula Home Shopping Centre,"1130-1134 Nepean Highway, Mornington VIC 3931, Australia",145.061207,-38.220693,,,,,,,,,['EVUp'],4.0,,,[22.0],0.0,0,0.0,0.0,4.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Dandenong Market - Southern Car Park (Coming Soon),"40 Cleeland St, Dandenong VIC 3175, Australia",145.216329,-37.984494,,,,,,,,,['Non-networked'],1.0,,,['unknown'],0.0,0,0.0,1.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
Ventia Head Office Carpark,"20 Corporate Drive, Heatherton‎ VIC‎ 3202, Australia",145.080488,-37.950648,,,,,,,,,['ChargePoint'],2.0,,,[6.6],0.0,0,0.0,2.0,0.0,0.0,,0.0,0.0,,PlugShare_Scrape,20/08/2022
